Epoch,Train Loss,Train Acc (%),Test Acc (%),Epoch Time (s),Cumulative Time (s)
1,0.9356,55.26,65.24,38.32,38.32
2,0.7979,65.09,70.46,37.61,75.93
3,0.7198,69.68,73.04,38.08,114.01
4,0.6688,72.53,75.06,40.62,154.63
5,0.6350,74.21,75.49,38.90,193.54
6,0.6124,75.30,76.97,39.57,233.11
7,0.5937,76.22,77.25,39.62,272.73
8,0.5782,76.99,77.97,40.28,313.01
9,0.5647,77.59,78.34,41.07,354.08
10,0.5530,78.17,78.18,40.28,394.36
11,0.5428,78.64,79.04,39.87,434.23
12,0.5338,79.00,79.11,40.49,474.72
13,0.5250,79.46,79.38,40.91,515.64
14,0.5177,79.79,79.51,40.32,555.95
15,0.5115,80.07,79.99,41.22,597.17
16,0.5037,80.49,80.09,43.36,640.53
17,0.4987,80.71,80.22,44.90,685.43
18,0.4927,80.96,80.18,43.82,729.25
19,0.4871,81.20,80.22,41.75,771.01
20,0.4840,81.36,80.37,42.03,813.04
21,0.4787,81.61,80.50,44.42,857.46
22,0.4751,81.81,81.30,42.73,900.19
23,0.4698,82.01,80.88,41.02,941.21
24,0.4666,82.16,80.87,42.52,983.73
25,0.4644,82.23,80.91,45.80,1029.53
26,0.4597,82.45,80.75,42.33,1071.86
27,0.4580,82.58,81.06,40.66,1112.52
28,0.4533,82.75,81.00,41.17,1153.70
29,0.4512,82.82,81.04,40.87,1194.56
30,0.4489,83.03,81.12,39.33,1233.90
31,0.4456,83.10,81.60,39.34,1273.24
32,0.4428,83.25,81.36,39.74,1312.98
33,0.4401,83.35,81.29,39.34,1352.32
34,0.4378,83.49,81.69,39.19,1391.51
35,0.4355,83.57,81.57,39.56,1431.07
36,0.4331,83.66,81.47,39.41,1470.48
37,0.4315,83.71,81.50,39.29,1509.77
38,0.4292,83.83,81.92,39.15,1548.92
39,0.4274,83.90,81.73,39.51,1588.43
40,0.4262,83.98,81.65,39.24,1627.67
41,0.4231,84.07,81.76,39.08,1666.75
42,0.4222,84.13,81.48,39.07,1705.81
43,0.4194,84.23,81.53,39.85,1745.66
44,0.4192,84.28,81.77,39.15,1784.81
45,0.4165,84.35,81.39,39.16,1823.97
46,0.4152,84.39,81.31,39.55,1863.53
47,0.4131,84.53,81.73,39.38,1902.91
48,0.4125,84.55,81.48,39.29,1942.19
49,0.4112,84.63,81.74,39.40,1981.59
50,0.4093,84.70,82.11,39.68,2021.27

总结
总训练时间(秒),2053.32
平均每Epoch时间(秒),41.07
最终测试准确率(%),82.11
最佳测试准确率(%),82.11
